date,tweet_count
2024-07-24,1
2024-07-25,1
2024-07-26,1
2024-07-27,1
2024-08-01,1
2024-08-10,1
2024-08-22,1
2024-08-23,1
2024-09-03,1
2024-09-06,1
2024-09-10,3
2024-09-12,9
2024-09-13,4
2024-09-14,1
2024-09-17,1
2024-09-18,1
2024-09-21,2
2024-09-23,1
2024-09-24,2
2024-09-25,3
2024-10-01,10
2024-10-02,1
2024-10-03,1
2024-10-04,3
2024-10-05,2
2024-10-06,1
2024-10-07,1
2024-10-09,4
2024-10-11,1
2024-10-12,1
2024-10-17,1
2024-10-23,3
2024-10-24,1
2024-10-28,2
2024-10-29,4
2024-10-31,2
2024-11-05,1
2024-11-13,2
2024-11-26,1
2024-12-02,5
2024-12-13,1
2024-12-23,1
2024-12-27,2
2024-12-29,4
